drug_key,generic_name,brand_names,category,color,uses,dosage,side_effects,warn_pregnancy,warn_liver,warn_kidney,interactions
metformin,Metformin,"Glucophage,Fortamet,Glumetza",Antidiabetic,#0ea5e9,"Controls blood sugar in type 2 diabetes by reducing glucose production in the liver.","500–2000mg per day with meals. Start low, increase slowly.","Nausea,Diarrhea,Stomach upset,Vitamin B12 deficiency (long-term)",False,True,True,"alcohol,contrast dye,topiramate"
glipizide,Glipizide,"Glucotrol",Antidiabetic (Sulfonylurea),#0284c7,"Stimulates the pancreas to produce more insulin for type 2 diabetes.","5–40mg per day, taken 30 minutes before meals.","Low blood sugar,Weight gain,Nausea,Dizziness",True,True,True,"alcohol,fluconazole,warfarin"
sitagliptin,Sitagliptin,"Januvia",Antidiabetic (DPP-4),#0369a1,"Helps control blood sugar by increasing insulin release after meals.","100mg once daily. 50mg if moderate kidney disease.","Runny nose,Headache,Pancreatitis (rare),Joint pain",False,False,True,"digoxin,cyclosporine"
insulin,Insulin,"Humulin,Novolog,Lantus,Basaglar",Antidiabetic (Insulin),#075985,"Replaces or supplements natural insulin to control blood sugar in diabetes.","Dose is highly individualized. Inject subcutaneously as directed.","Low blood sugar,Weight gain,Injection site reactions,Hypokalemia",False,False,True,"alcohol,beta-blockers,corticosteroids"
amlodipine,Amlodipine,"Norvasc,Amvaz",Calcium Channel Blocker,#8b5cf6,"Treats high blood pressure and chest pain (angina) by relaxing blood vessels.","2.5–10mg once daily. Take at the same time each day.","Swollen ankles,Flushing,Headache,Dizziness,Fatigue",True,True,False,"simvastatin,cyclosporine,tacrolimus"
lisinopril,Lisinopril,"Zestril,Prinivil",ACE Inhibitor,#ef4444,"Treats high blood pressure and heart failure; protects kidneys in diabetics.","5–40mg once daily. Drink plenty of water. Never stop abruptly.","Dry cough,Dizziness,High potassium,Kidney function changes",True,False,True,"potassium,NSAIDs,diuretics,aliskiren"
losartan,Losartan,"Cozaar,Repace",ARB (Antihypertensive),#c026d3,"Lowers blood pressure by blocking angiotensin II, protecting the heart and kidneys.","25–100mg once or twice daily.","Dizziness,High potassium,Kidney changes,Rare: angioedema",True,True,True,"potassium,NSAIDs,lithium,fluconazole"
metoprolol,Metoprolol,"Lopressor,Toprol XL,Betaloc",Beta Blocker,#9333ea,"Slows heart rate and reduces blood pressure. Used for hypertension, angina, heart failure.","25–200mg daily (immediate release: twice daily; extended release: once daily).","Fatigue,Slow heart rate,Cold hands/feet,Dizziness,Depression",False,True,False,"verapamil,clonidine,insulin,antidepressants"
warfarin,Warfarin,"Coumadin,Jantoven",Anticoagulant,#dc2626,"Prevents blood clots in atrial fibrillation, DVT, after valve replacement.","2–10mg daily. Requires regular INR blood tests. Dose is individualized.","Bleeding risk,Bruising,Nausea,Hair loss",True,True,True,"aspirin,ibuprofen,amoxicillin,omeprazole,atorvastatin,paracetamol"
aspirin,Aspirin,"Ecosprin,Disprin,Bayer",NSAID / Antiplatelet,#f97316,"Relieves pain and fever; low dose prevents heart attacks and strokes.","Pain: 325–650mg every 4–6 hours. Heart prevention: 75–100mg once daily.","Stomach irritation,Bleeding risk,Tinnitus (high doses)",True,False,True,"warfarin,ibuprofen,clopidogrel,methotrexate"
clopidogrel,Clopidogrel,"Plavix,Clopilet",Antiplatelet,#b91c1c,"Prevents platelets from clumping to reduce risk of heart attack and stroke.","75mg once daily with or without food.","Bleeding,Bruising,Stomach pain,Rash",False,True,False,"omeprazole,aspirin,warfarin,NSAIDs"
digoxin,Digoxin,"Lanoxin",Cardiac Glycoside,#7c3aed,"Strengthens heart muscle contractions and controls heart rate in heart failure and AFib.","0.125–0.25mg once daily. Requires blood level monitoring.","Nausea,Visual disturbances,Slow heart rate,Arrhythmia (toxicity)",False,False,True,"amiodarone,verapamil,sitagliptin,diuretics"
furosemide,Furosemide,"Lasix,Frusemide",Loop Diuretic,#6d28d9,"Removes excess fluid from the body. Treats heart failure, kidney disease, high blood pressure.","20–80mg once or twice daily. Take in the morning to avoid night urination.","Frequent urination,Low potassium,Dehydration,Hearing loss (high doses)",True,True,True,"digoxin,lithium,NSAIDs,aminoglycosides"
amiodarone,Amiodarone,"Cordarone,Pacerone",Antiarrhythmic,#5b21b6,"Controls life-threatening heart rhythm disorders (arrhythmias).","100–400mg daily. Requires loading dose. Long-term monitoring required.","Thyroid problems,Lung toxicity,Liver damage,Photosensitivity,Vision changes",True,True,False,"warfarin,digoxin,simvastatin,beta-blockers"
atorvastatin,Atorvastatin,"Lipitor,Atorva",Statin (Cholesterol),#10b981,"Lowers bad cholesterol (LDL) and reduces risk of heart disease and stroke.","10–80mg once daily, usually at bedtime. Avoid grapefruit juice.","Muscle pain,Liver enzyme changes,Headache,Digestive issues",True,True,False,"amlodipine,clarithromycin,warfarin,niacin,amiodarone"
rosuvastatin,Rosuvastatin,"Crestor,Rozavel",Statin (Cholesterol),#059669,"Lowers LDL cholesterol and triglycerides, reduces cardiovascular risk.","5–40mg once daily. Asian patients start at lower dose.","Muscle pain,Headache,Nausea,Abnormal liver tests",True,True,True,"warfarin,cyclosporine,antacids,niacin"
simvastatin,Simvastatin,"Zocor,Simcard",Statin (Cholesterol),#047857,"Reduces bad cholesterol and lowers risk of heart attack and stroke.","5–40mg once daily at bedtime. Avoid grapefruit.","Muscle pain or weakness,Liver problems,Digestive issues",True,True,False,"amlodipine,amiodarone,warfarin,clarithromycin,verapamil"
omeprazole,Omeprazole,"Prilosec,Losec,Omez",Proton Pump Inhibitor,#f59e0b,"Reduces stomach acid to treat acid reflux, heartburn, and stomach ulcers.","20–40mg once daily, taken 30–60 minutes before breakfast.","Headache,Diarrhea,Stomach pain,Low magnesium (long-term)",False,True,False,"clopidogrel,methotrexate,warfarin"
pantoprazole,Pantoprazole,"Protonix,Pan D",Proton Pump Inhibitor,#d97706,"Treats acid reflux, stomach ulcers, and Zollinger-Ellison syndrome.","20–40mg once daily before a meal.","Headache,Diarrhea,Bone fracture (long-term),Low magnesium",False,True,False,"methotrexate,clopidogrel,atazanavir"
ondansetron,Ondansetron,"Zofran,Emeset",Antiemetic,#b45309,"Prevents nausea and vomiting caused by chemotherapy, surgery, or radiation.","4–8mg every 8 hours as needed.","Headache,Constipation,Dizziness,QT prolongation (rare)",False,True,False,"tramadol,SSRIs,apomorphine"
domperidone,Domperidone,"Motilium,Domstal",Prokinetic / Antiemetic,#92400e,"Relieves nausea, vomiting, and stomach bloating. Speeds up gastric emptying.","10mg three times daily, 15–30 minutes before meals.","Dry mouth,Headache,Galactorrhea,QT prolongation (rare)",False,True,True,"ketoconazole,erythromycin,amiodarone"
paracetamol,Paracetamol (Acetaminophen),"Tylenol,Panadol,Crocin,Dolo",Analgesic / Antipyretic,#06b6d4,"Relieves mild to moderate pain and reduces fever. Safe for most people.","500–1000mg every 4–6 hours as needed. Max 4000mg per day.","Rare at normal doses,Liver damage in overdose",False,True,False,"warfarin,alcohol,isoniazid"
ibuprofen,Ibuprofen,"Advil,Brufen,Nurofen",NSAID (Anti-inflammatory),#0891b2,"Relieves pain, reduces inflammation, and lowers fever.","200–800mg every 4–6 hours. Take with food. Max 3200mg/day.","Stomach upset,Kidney stress,Increased blood pressure,Bleeding risk",True,False,True,"warfarin,aspirin,lisinopril,methotrexate"
tramadol,Tramadol,"Ultram,Tramazac",Opioid Analgesic,#155e75,"Treats moderate to severe pain. Acts on opioid receptors and serotonin/norepinephrine.","50–100mg every 4–6 hours as needed. Max 400mg/day.","Nausea,Dizziness,Constipation,Drowsiness,Seizure risk",True,True,True,"SSRIs,MAOIs,ondansetron,alcohol,benzodiazepines"
diclofenac,Diclofenac,"Voltaren,Voveran",NSAID (Anti-inflammatory),#0e7490,"Treats arthritis pain, muscle pain, and menstrual cramps.","50mg two to three times daily with food.","Stomach pain,Kidney stress,Liver enzyme rise,Cardiovascular risk",True,True,True,"warfarin,lithium,methotrexate,cyclosporine"
amoxicillin,Amoxicillin,"Amoxil,Trimox,Mox",Antibiotic (Penicillin),#ec4899,"Treats bacterial infections like ear infections, pneumonia, and throat infections.","250–500mg every 8 hours or 500–875mg every 12 hours. Complete full course.","Nausea,Diarrhea,Rash,Allergic reaction (rare but serious)",False,False,True,"warfarin,methotrexate,oral contraceptives"
azithromycin,Azithromycin,"Zithromax,Azee,Azithral",Antibiotic (Macrolide),#db2777,"Treats respiratory infections, skin infections, and STIs caused by bacteria.","500mg on day 1, then 250mg once daily for 4 days.","Nausea,Diarrhea,Stomach pain,QT prolongation (rare)",False,True,False,"warfarin,antacids,amiodarone,digoxin"
ciprofloxacin,Ciprofloxacin,"Cipro,Ciplox",Antibiotic (Fluoroquinolone),#be185d,"Broad-spectrum antibiotic for urinary, respiratory, and skin infections.","250–750mg twice daily. Avoid dairy and antacids within 2 hours.","Nausea,Diarrhea,Tendon rupture (rare),Photosensitivity,QT prolongation",True,True,True,"warfarin,antacids,theophylline,NSAIDs"
metronidazole,Metronidazole,"Flagyl,Metrogyl",Antibiotic / Antiprotozoal,#9d174d,"Treats bacterial and parasitic infections including anaerobic bacteria and H. pylori.","400–500mg two to three times daily for 5–10 days.","Metallic taste,Nausea,Dark urine,Peripheral neuropathy (long-term)",True,True,False,"alcohol,warfarin,lithium,cyclosporine"
doxycycline,Doxycycline,"Vibramycin,Doxy,Doxt",Antibiotic (Tetracycline),#831843,"Treats acne, chest infections, Lyme disease, malaria prevention.","100mg twice daily or once daily. Take with plenty of water. Avoid lying down.","Photosensitivity,Nausea,Esophageal irritation,Yeast infections",True,False,False,"antacids,warfarin,oral contraceptives,isotretinoin"
cetirizine,Cetirizine,"Zyrtec,Alerid,Cetzine",Antihistamine,#84cc16,"Relieves allergy symptoms like sneezing, runny nose, hives, and itching.","10mg once daily, usually in the evening.","Drowsiness,Dry mouth,Headache,Fatigue",False,False,True,"alcohol,sedatives,CNS depressants"
montelukast,Montelukast,"Singulair,Montair",Leukotriene Antagonist,#65a30d,"Prevents asthma attacks and relieves allergic rhinitis (hay fever).","10mg once daily in the evening for adults.","Headache,Stomach pain,Behavioral changes,Vivid dreams",False,True,False,"phenobarbital,rifampicin,gemfibrozil"
salbutamol,Salbutamol (Albuterol),"Ventolin,Asthalin,Proair",Bronchodilator (SABA),#4d7c0f,"Quickly opens airways during asthma attacks or exercise-induced bronchospasm.","100–200mcg inhaled as needed, up to 4 times daily.","Tremor,Rapid heartbeat,Headache,Hypokalemia (high doses)",False,False,False,"beta-blockers,digoxin,diuretics,MAOIs"
prednisolone,Prednisolone,"Prelone,Wysolone,Omnipred",Corticosteroid,#3f6212,"Reduces inflammation and suppresses the immune system. Used in asthma, arthritis, allergies.","5–60mg daily depending on condition. Taper dose slowly; never stop abruptly.","Weight gain,High blood sugar,Bone thinning,Increased infection risk,Mood changes",False,False,False,"NSAIDs,warfarin,insulin,vaccines,furosemide"
sertraline,Sertraline,"Zoloft,Serlift,Daxid",SSRI Antidepressant,#7c3aed,"Treats depression, anxiety, OCD, PTSD, and panic disorder.","50–200mg once daily. May take 4–6 weeks for full effect.","Nausea,Insomnia,Decreased libido,Diarrhea,Suicidal thoughts (young patients)",False,True,False,"MAOIs,tramadol,ondansetron,warfarin,lithium"
fluoxetine,Fluoxetine,"Prozac,Flunil,Fludac",SSRI Antidepressant,#6d28d9,"Treats depression, bulimia, OCD, and panic disorder.","20–80mg once daily in the morning. Takes weeks to work.","Insomnia,Anxiety,Nausea,Weight changes,Sexual dysfunction",False,True,False,"MAOIs,tramadol,warfarin,antipsychotics,lithium"
alprazolam,Alprazolam,"Xanax,Alzolam,Restyl",Benzodiazepine (Anxiolytic),#5b21b6,"Short-term relief of anxiety disorders and panic attacks.","0.25–1mg three times daily. Use for shortest duration possible.","Sedation,Dependence,Memory impairment,Respiratory depression",True,True,False,"alcohol,opioids,antihistamines,antifungals,CNS depressants"
clonazepam,Clonazepam,"Klonopin,Rivotril,Clonotril",Benzodiazepine (Anticonvulsant),#4c1d95,"Controls seizures and panic disorder.","0.5–2mg twice or three times daily.","Drowsiness,Coordination problems,Memory issues,Dependence",True,True,False,"alcohol,opioids,CNS depressants,valproate"
gabapentin,Gabapentin,"Neurontin,Gabapin,Gabantin",Anticonvulsant / Neuropathic,#3730a3,"Treats epilepsy, nerve pain (neuropathy), and restless legs syndrome.","300–3600mg daily in divided doses. Titrate slowly.","Dizziness,Drowsiness,Weight gain,Edema,Coordination problems",False,False,True,"alcohol,opioids,antacids,morphine"
phenytoin,Phenytoin,"Dilantin,Eptoin",Anticonvulsant,#1e40af,"Controls tonic-clonic and focal seizures.","300–400mg daily in divided doses. Requires blood level monitoring.","Gum overgrowth,Dizziness,Skin rash,Bone loss,Double vision",True,True,False,"warfarin,oral contraceptives,fluconazole,carbamazepine"
